IngredientName,IngredientShortDescription,IngredientId,PortionUOMTypeId
Bread                                              ,Bread Stick 12 inch/30cm                    ,1,11.0
Bacon                                              ,Bacon                                       ,2,11.0
Chicken Strips                                     ,Chicken Strips                              ,3,15.0
Chicken. oven roasted patty                        ,"Chicken, single piece                       ",4,15.0
Cold Cut Combo                                     ,Cold Cut Combo                              ,5,15.0
Salami                                             ,Salami                                      ,6,15.0
Ham                                                ,Ham                                         ,7,15.0
Meatballs                                          ,Meatballs                                   ,8,15.0
Pepperoni                                          ,Pepperoni                                   ,9,15.0
Roast Beef                                         ,Roast Beef                                  ,10,15.0
"Steak, Shaved                                      ","Steak, Philly style                         ",11,15.0
Tuna                                               ,Tuna                                        ,12,15.0
Turkey                                             ,Turkey                                      ,13,15.0
"Cheese, Sliced cheese                              ","Cheese, Sliced cheese                       ",14,15.0
Cookies                                            ,Cookies                                     ,15,11.0
Flatbread                                          ,Flatbread                                   ,16,11.0
Olives                                             ,Olives                                      ,17,15.0
Pickles                                            ,Pickles                                     ,18,15.0
Jalapeno Peppers                                   ,Jalapeno Peppers                            ,19,15.0
Banana Peppers                                     ,Banana Peppers                              ,20,15.0
Apples                                             ,Apple slices                                ,21,11.0
Chips                                              ,Chips                                       ,22,11.0
"Yogurt, cup single serve                           ","Yogurt, cup single serve                    ",23,11.0
DELETE Cucumbers                                   ,DELETE Cucumbers                            ,24,11.0
Green Peppers                                      ,Green Peppers                               ,25,15.0
Onions                                             ,Onions                                      ,26,15.0
Lettuce                                            ,Lettuce                                     ,27,15.0
Tomatoes                                           ,Tomatoes                                    ,28,15.0
Bottled Beverages                                  ,Bottled Beverages                           ,29,11.0
"Cheese, Shredded Monterey Cheddar                  ","Cheese, Shredded Montere                    ",30,15.0
Parmesan Cheese                                    ,"Parmesan Cheese, grated                     ",31,15.0
Oregano                                            ,Oregano                                     ,32,11.0
Mayonnaise                                         ,Mayonnaise                                  ,33,15.0
DELETE Mustard                                     ,DELETE Mustard                              ,34,12.0
Ranch Dressing                                     ,Ranch Dressing                              ,35,15.0
Buffalo Sauce                                      ,Buffalo Sauce                               ,36,15.0
Chipotle Southwest Sauce                           ,Chipotle Southwest Sauce                    ,37,15.0
Honey Mustard Sauce                                ,"Honey Mustard Sauce, fat                    ",38,15.0
Sweet Onion Sauce                                  ,"Sweet Onion Sauce, fat f                    ",39,15.0
Teriyaki Glaze                                     ,"Teriyaki Glaze, fat free                    ",40,15.0
DELETE Olive Oil Blend                             ,DELETE Olive Oil Blend                      ,41,
Salt and Pepper                                    ,Salt & Pepper Blend                         ,42,15.0
Vinegar                                            ,"Vinegar, Red Wine                           ",43,15.0
"Milk, bottle                                       ","Milk, bottle                                ",44,11.0
"Cold Cup, 21 oz.                                   ","Cold Cup, 21 oz.                            ",45,11.0
"Cold Cup & Lid, 32 oz.                             ","Cold Cup & Lid, 32 oz.                      ",46,11.0
Avocado                                            ,Avocado                                     ,47,15.0
Bagels                                             ,Bagels                                      ,48,
Biscuits                                           ,Biscuits                                    ,49,11.0
BBQ Rib Patty                                      ,BBQ Rib Patty                               ,50,11.0
BBQ Sauce                                          ,BBQ Sauce                                   ,51,15.0
Bologna                                            ,Bologna                                     ,52,15.0
Brownie                                            ,Brownie                                     ,53,11.0
Burger Patty                                       ,Burger Patty                                ,54,11.0
Cinnamon Rolls                                     ,Cinnamon Rolls                              ,55,
"Carrots, Shredded                                  ","Carrots, Shredded                           ",56,15.0
BBQ Chicken                                        ,BBQ Chicken                                 ,57,15.0
Croissant                                          ,Croissant                                   ,58,11.0
Chicken Fritters                                   ,Chicken Fritters (Breade                    ,59,15.0
Chicken Salad                                      ,Chicken Salad                               ,60,15.0
Deli Rolls                                         ,Deli Rolls                                  ,61,11.0
Cinnamon Roll                                      ,Cinnamon Roll                               ,62,11.0
Corned Beef                                        ,Corned Beef                                 ,63,15.0
Crackers                                           ,Crackers                                    ,64,
"Hot Drink Cups, 12 oz.                             ","Hot Drink Cups, 12 oz.                      ",65,
"Egg, breakfast precooked                           ","Egg, breakfast precooked                    ",66,11.0
"Egg, liquid                                        ","Egg, liquid                                 ",67,15.0
"Cup, Hot Cup, 16 oz.                               ","Cup, Hot Cup, 16 oz                         ",68,11.0
English Muffin                                     ,English Muffin                              ,69,11.0
Gravy                                              ,"Gravy, breakfast                            ",70,15.0
Hash Browns                                        ,Hash Browns                                 ,71,15.0
Muffin Batter                                      ,"Muffin Batter, baked goo                    ",72,15.0
Pastry Bites                                       ,Pastry Bites                                ,73,11.0
Sausage Patties                                    ,"Sausage Patties, breakfa                    ",74,15.0
Fruit cup                                          ,Fruit cup                                   ,75,
Croutons                                           ,Croutons                                    ,76,11.0
Crushed Red Pepper                                 ,Crushed Red Pepper                          ,77,
"Fish Patty, Breaded                                ","Fish Patty, Breaded                         ",78,
Guacamole                                          ,Guacamole                                   ,79,15.0
"Muffins, bakery                                    ","Muffins, bakery                             ",80,11.0
"Juice, Bottle                                      ","Juice, Bottle                               ",81,11.0
"Pastrami, beef                                     ","Pastrami, beef                              ",82,15.0
Pepperoncini                                       ,Pepperoncini                                ,83,
Pulled Pork                                        ,Pulled Pork                                 ,84,15.0
Salad Dressing Packet                              ,Salad Dressing Packet                       ,85,11.0
Red Wine Vinaigrette Sauce                         ,Red Wine Vinaigrette Sau                    ,86,15.0
"Caesar, Savory Caesar Sauce                        ","Caesar, Savory Caesar Sa                    ",87,15.0
"Italian, Zesty Italian Sauce                       ","Italian, Zesty Italian S                    ",88,15.0
"Seafood Sensation, Seafood & Crab Blend            ","Seafood Sensation, Seafo                    ",89,15.0
"Spinach, Baby Spinach                              ","Spinach, Baby Spinach                       ",90,15.0
Veggie Patty                                       ,Veggie Patty                                ,91,11.0
Marinara Sauce                                     ,Marinara Sauce                              ,92,15.0
Bread Toppings                                     ,"Bread Toppings, Dry                         ",93,15.0
"Cheese, crumbled                                   ","Cheese, Feta                                ",94,15.0
"Cups, cold                                         ","Cups, cold                                  ",95,11.0
"cups, hot                                          ","cups, hot                                   ",96,11.0
"Cups, Cold 21 oz                                   ","Cups, Cold 21 oz                            ",97,11.0
"Cups, Cold, 16 oz./.4L                             ","Cups, Cold, 16 oz./.4L                      ",98,11.0
"Cups, Cold, 32 oz./940ml-950ml                     ","Cups, Cold 32 oz./940ml-                    ",99,11.0
"Lid, cold cup 16/21 oz                             ","Lid, cold cup 16/21 oz. 0.4L/0.5L           ",100,11.0
"Lid, cold, cup 32 oz./940ml-950ml                  ","lid, cold,cup 32 oz. /94                    ",101,11.0
"Lid, cold cup 44 oz.                               ","Lid, cold cup 44 oz.                        ",102,
"Pizza, pre-made                                    ","Pizza, Pre-made 8"" chees                    ",103,11.0
"Cheese,Shredded, Mozzarella                        ","Cheese, Shredded Mozzare                    ",104,15.0
Sausage Pizza crumble                              ,"Sausage, Pizza crumbled                     ",105,15.0
Pepperoni for Pizza                                ,Pepperoni for Pizza                         ,106,15.0
"Soup, Frozen                                       ","Soup, Frozen                                ",107,15.0
"Crackers, soup crackers                            ",Soup Crackers                               ,108,11.0
"Bowl, Salad Bowl & Lid                             ",Salad bowl & Lid                            ,109,11.0
Fountain Beverage syrup                            ,Fountain Beverage syrup                     ,110,12.0
"DELETE Beverage, Juice Box                         ","Beverage, Juice Box                         ",111,12.0
"Cheese, sliced optional cheeses                    ","Cheese, Sliced optional                     ",112,15.0
"Bread, Wrap Tortilla                               ","Bread, Wrap Tortilla                        ",113,11.0
"Cups, Hot Cup & Lid 16 oz                          ","Cups, Hot Cup & Lid 16 o                    ",114,11.0
"Cups, Hot Cup 12 oz.                               ","Cups, Hot Cup 12 oz.                        ",115,11.0
Soup Bowl                                          ,Soup Bowl                                   ,116,11.0
Olive Vinaigrette Sauce                            ,Olive Vinaigrette Sauce                     ,117,15.0
"Cups, Cold 44 oz                                   ","Cups, Cold 44 oz                            ",118,11.0
Cucumber                                           ,Cucumber                                    ,119,15.0
Cucumber2                                          ,Cucumber2                                   ,120,15.0
Olive Oil Blend                                    ,Olive Oil Blend                             ,121,
"Olive Oil Blend, Sauce                             ","Olive Oil Blend, Sauce                      ",122,15.0
Mustards                                           ,"Mustard, Sauce                              ",123,15.0
"Cilantro, fresh                                    ","Cilantro, fresh                             ",124,15.0
"Sausage, Italian Style                             ","Sausage, Italian Style                      ",125,15.0
Baja Sauce                                         ,Baja Sauce                                  ,126,15.0
"Yogurt, Bulk                                       ","Yogurt, Bulk                                ",127,15.0
"Green Chili, Roasted                               ","Green Chili, Roasted                        ",128,
Balsamic Vinegar                                   ,Balsamic Vinegar                            ,129,
"Iced Tea, Fresh Brewed                             ","Iced Tea, Fresh Brewed                      ",130,
Salt                                               ,"Salt, shaker topping                        ",131,15.0
"Pepper, Black                                      ","Pepper, Black, Shaker to                    ",132,15.0
DELETE - Coffee                                    ,DELETE - Coffee                             ,133,
"Cup, Courtesy                                      ","Cup, Courtesy                               ",134,11.0
Napkins                                            ,Napkins                                     ,135,11.0
"Cup & lid, Souffle Portion Control,2oz.            ","Cup & lid, Souffle Porti                    ",136,11.0
"Tray, Prep, Portion Control                        ","Tray, Prep, Portion Cont                    ",137,11.0
"Bag, Sub bag                                       ","Bag, Sub Bag                                ",138,11.0
"Bag, T-shirt Bag                                   ","Bag, T-shirt Bag                            ",139,11.0
"Bag, Specialty Bag                                 ","Bag, Specialty Bag                          ",140,11.0
"Bag, Catering Bag                                  ","Bag, Catering Bag                           ",141,
"Board, 3 foot sub                                  ",Board 3 foot sub                            ,142,11.0
"Board, 6 foot sub                                  ","Board, 6 foot sub                           ",143,11.0
"Box, Giant Sub                                     ","Box, Giant Sub                              ",144,11.0
"Tray, Catering Sandwich Tray                       ","Tray, Catering Sandwich                     ",145,11.0
"Sub Wrap, Paper Wrap                               ","Sub Wrap, Paper Wrap                        ",146,11.0
Straw                                              ,Straw                                       ,147,11.0
Gloves                                             ,Gloves                                      ,148,11.0
"Lid, Hot Cup                                       ","Lid, Hot Cup                                ",149,11.0
"Lid, Soup bowl                                     ","Lid, Soup bowl                              ",150,11.0
"Box, Subway To Go! Meal                            ","Box, Subway To Go! Meal                     ",151,11.0
"Box, Pizza                                         ","Box, Pizza                                  ",152,11.0
"Cutlery, Knife & Fork Kit                          ","Cutlery, Knife & Fork Ki                    ",153,11.0
"Cutlery, Spoon                                     ","Cutlery, Spoon                              ",154,11.0
Mints                                              ,Mints                                       ,155,11.0
"Lid, Cold Cup 30 oz                                ","Lid, Cold Cup 30 oz.                        ",156,11.0
Deli Paper                                         ,Deli Paper                                  ,157,11.0
"Chicken Salad, Orchard Chicken Salad               ",Orchard Chicken Salad                       ,158,15.0
"Seasoning, Herb Chicken                            ","Seasoning, Herb Chicken                     ",159,11.0
"Cup, Cold 30 oz.                                   ","Cup, Cold 30 oz.                            ",160,11.0
"Cup, Cold, 40 oz.                                  ","Cup, Cold 40 oz.                            ",161,11.0
"Lid, Cold Cup 40 oz                                ","Lid,  Cold Cup 40 oz                        ",162,11.0
"Beverage, Juice Box                                ",Juice Box                                   ,163,11.0
"Gravy, Biscuit Gravy, Sausage                      ","Gravy, Biscuit Gravy, Sa                    ",164,15.0
BBQ Sauce Packet                                   ,BBQ Sauce Packet                            ,165,
Apple Pie                                          ,Apple Pie                                   ,166,11.0
"Water, Bottle                                      ","Water, Bottle                               ",167,11.0
Bagel                                              ,Bagel                                       ,168,11.0
Green Chile                                        ,Green Chile                                 ,169,15.0
"Box, Specialty - Small                             ","Box, Specialty - Small                      ",170,11.0
"Box, Specialty- Large                              ","Box, Specialty - Large                      ",171,11.0
Coffee                                             ,"Coffee, filter style gro                    ",172,15.0
"Chicken, Oven Crisp                                ","Chicken, Oven Crisp                         ",173,15.0
"Smoothie, Strawberry Concentrate                   ","Smoothie, Strawberry Con                    ",174,15.0
"Smoothie, Mango Concentrate                        ","Smoothie, Mango Concentr                    ",175,15.0
"Smoothie, Non Fat Vanilla Yogurt                   ","Smoothie, Non Fat Vanill                    ",176,15.0
"Fruit Blend, Parfait                               ","Fruit Blend, Parfait                        ",177,15.0
"Granola, Parfait                                   ","Granola, Parfait                            ",178,11.0
"Cup & Lid,  7 oz Parfait                           ","Cup & Lid, 7 oz Parfait                     ",179,11.0
"Lid, Hot Cup 12 & 16 oz                            ","Lid, Hot Cup 12 & 16 oz                     ",180,11.0
"Toy, Kids Meal Premium                             ","Toy, Kids Meal Premium                      ",181,11.0
Golden Italian Sauce                               ,"Italian, Golden Italian                     ",182,15.0
Hummus                                             ,Hummus                                      ,183,15.0
"Mayonnaise Packets, PC Packets                     ","Mayonnaise Packets, PC P                    ",184,11.0
Creamy Italian Sauce                               ,Creamy Italian Sauce                        ,185,12.0
"Mustard Packets, PC Packets                        ","Mustard Packets, PC Pack                    ",186,11.0
"Vinegar Packets, PC Packets                        ","Vinegar Packets, PC Pack                    ",187,11.0
"Oil Packets, PC Packets                            ","Oil Packets, PC Packets                     ",188,11.0
Hot Chocolate powder                               ,Hot Chocolate powder                        ,189,11.0
"Tea bag, single serve                              ","Tea bag, single serve                       ",190,11.0
"Ice Tea, Brewed bulk                               ","Ice Tea, Brewed bulk                        ",191,11.0
"Chicken, Shaved                                    ","Chicken, Shaved                             ",192,15.0
"Cups, Cold, 12 oz./350ml-360ml                     ","Cups, Cold, 12 oz./350ml                    ",193,11.0
"Bag, Catering Tray carry bag                       ","Bag, Catering Tray carry                    ",194,11.0
"Cleaner, Coffee Pot Cleaner                        ","Cleaner, Coffee Pot Clea                    ",195,11.0
"Cream Cheese, Portion Control pack                 ","Cream Cheese, Portion Co                    ",196,11.0
Drink Carrier                                      ,Drink Carrier                               ,197,11.0
"Cleaner, Acrylic Cleaner                           ","Cleaner, Acrylic Cleaner                    ",198,11.0
"Cup, Clear 7 oz.                                   ","Cup,  Clear 7 oz.                           ",199,11.0
"Cleaning, Board Bright Cutting Board Cleaner       ","Cleaning, Board Bright C                    ",200,11.0
"Cleaner, Liquid Drain cleaner                      ","Cleaner, Liquid Drain C                     ",201,11.0
"Cleaning, Trash Can Liner                          ","Cleaning, Trash Can Line                    ",202,11.0
"Cleaner, Degreaser                                 ","Cleaner, Degreaser                          ",203,11.0
"Lid, Cold  Cup 7 oz.                               ","Lid, Cold Cup 7 oz.                         ",204,11.0
House Sandwich Sauce - Metric                      ,House Sandwich Sauce - M                    ,205,15.0
Greek Vinaigrette Sauce Dressing - Metric          ,Greek Vin. Sauce Dressin                    ,206,
Lobster                                            ,"Lobster, picked lobster                     ",207,15.0
Fruit Roll-up                                      ,Fruit Roll-up                               ,208,11.0
"Cleaner, De-Limer & Scale Remover                  ","Cleaner, De-Limer & Sca                     ",209,11.0
"Cleaner, Dish Detergent                            ","Cleaner, Dish Detergent                     ",210,11.0
"Cleaning, Towels - Paper                           ","Cleaning, Towels - Paper Roll               ",211,11.0
Distributor Fee                                    ,Distributor Fee                             ,212,11.0
Distributor Credit / Discount                      ,Distributor Credit / Dis                    ,213,
"Cleaner, Floor                                     ","Cleaner, Floor                              ",214,11.0
"Cleaner, Freezer                                   ","Cleaner, Freezer                            ",215,11.0
"Cleaner, Glass                                     ","Cleaner, Glass                              ",216,11.0
"Cleaner, Graffiti Remover                          ","Cleaner, Graffiti Remove                    ",217,11.0
"Cleaner, Hand Sanitizer                            ","Cleaner, Hand Sanitizer                     ",218,11.0
"Cleaner, Kleer Wash                                ","Cleaner, Kleer Wash                         ",219,11.0
Apple Snapz                                        ,Apple Snapz                                 ,220,
"Cleaner, Oven                                      ","Cleaner, Oven                               ",221,11.0
"Cleaner, Hand Soap                                 ","Cleaner, Hand Soap                          ",222,11.0
"Cleaner, Restroom Cleaner                          ","Cleaner, Restroom Cleane                    ",223,11.0
Distributor Credit                                 ,Distributor Credit                          ,224,11.0
SUBWAY Card                                        ,SUBWAY Card                                 ,225,11.0
"Cleaner, Ice Machine                               ","Cleaner, Ice Machine                        ",226,11.0
"Cleaner, Fountain Machine Drain                    ","Cleaner, Fountain Machin                    ",227,11.0
"Cleaner, Spot Remover                              ","Cleaner, Spot Remover                       ",228,11.0
"Cleaner, Stainless Steel Polish                    ","Cleaner, Stainless Steel                    ",229,11.0
"Cleaning, Deck Brush                               ","Cleaning, Deck Brush                        ",230,11.0
"Cleaning, Broom Handle                             ","Cleaning, Broom Handle                      ",231,11.0
"Cleaning, Wiper                                    ","Cleaning, Wiper                             ",232,11.0
"Cleaning, Grease Trap Maintainer                   ","Cleaning, Grease Trap Ma                    ",233,11.0
"Cleaning, Mop Head                                 ","Cleaning, Mop Head                          ",234,11.0
"Cleaning, Mop Bucket                               ","Cleaning, Mop Bucket                        ",235,11.0
"Cleaning, Broom                                    ","Cleaning, Broom                             ",236,11.0
"Cleaning, Mini Mop Refills                         ","Cleaning, Mini Mop Refil                    ",237,11.0
"Cleaning, Mini Mop Starter Kit                     ","Cleaning, Mini Mop Start                    ",238,11.0
"Cleaning, Restroom Bowl Brush                      ","Cleaning, Restroom Bowl                     ",239,11.0
"Cleaning, Power Eraser Supplies                    ","Cleaning, Power Eraser S                    ",240,11.0
"Cleaning, Squeegee                                 ","Cleaning, Squeegee                          ",241,11.0
Coffee Filters                                     ,Coffee Filters                              ,242,11.0
Pan Liner                                          ,Pan Liner                                   ,243,11.0
"Pan Liner, Soup                                    ","Pan Liner, Soup                             ",244,11.0
Baking Paper                                       ,Baking Paper                                ,245,11.0
"Register Roll, Thermal                             ","Register Roll, Thermal                      ",246,11.0
"Register Roll, Bond                                ","Register Roll, Bond                         ",247,11.0
PVC Film                                           ,PVC Film                                    ,248,11.0
Pan Coating Spray                                  ,Pan Coating Spray                           ,249,11.0
Coffee Stirrer                                     ,Coffee Stirrer                              ,250,11.0
"Sweetner, Splenda                                  ","Sweetner, Splenda                           ",251,11.0
"Tissue, Roll                                       ","Tissue, Roll                                ",252,11.0
"Cleaner, Surface Sanitizer                         ","Cleaner, Surface Sanitiz                    ",253,11.0
"Cleaner, Sanitizer                                 ","Cleaner, Sanitizer liqui                    ",254,
"Tray & Lid , Aluminum Catering 1/3 size            ","Tray & Lid, Aluminim Cat                    ",255,11.0
Paper Products                                     ,Paper Products                              ,256,
Falafel                                            ,Falafel Balls                               ,257,15.0
"Sauce, Zesty Tzatziki Cucumber                     ","Sauce, Zesty Tzatiki Cuc                    ",258,15.0
Gluten-Free Bread                                  ,Gluten-Free Bread                           ,259,11.0
"Sauce, Gorganzola                                  ","Sauce, Gorganzola                           ",260,15.0
"Sauce, Wasabi                                      ","Sauce, Wasabi style                         ",261,15.0
"Smoothie, Pomagranate Berry Concentrate            ","Smoothie, Pomagranate Be                    ",262,15.0
"Cup, Smoothie 16 oz. clear                         ","Cup, Smoothie 16 oz. cle                    ",263,11.0
"Lid, Smoothie                                      ","Lid, Smoothie                               ",264,11.0
"Juice, Chilled Orange                              ","Juice, Chilled Orange Ju                    ",265,11.0
"Chicken Salad, Southwest Style                     ",Southwest Style Chicken                     ,266,15.0
"Eggplant, Breaded Peel-On Eggplant                 ","Eggplant, Breaded Peel-O                    ",267,15.0
Braised Beef with Vegetables & Gravy               ,Braised Beef with Vegeta                    ,268,15.0
"Jug, 1 Gallon                                      ","Jug, 1 Gallon                               ",269,11.0
"Sweet Peppers, Topping                             ","Sweet Peppers, Topping                      ",270,15.0
"Chicken Fritter Patty, No-Fry Crisp                ","Chicken Fritter Patty, N                    ",271,15.0
Horseradish Mayonnaise Sauce                       ,Horseradish Mayonnaise S                    ,272,15.0
"Creamers, individual portions                      ","Creamers, individual por                    ",273,11.0
Sweetener packets                                  ,Sweetener packets                           ,274,11.0
Chicken Strips - Metric                            ,Chicken Strips - Metric                     ,275,13.0
"Chicken, Oven Roasted Patty - Metric               ","Chicken, Oven Roasted Pa                    ",276,13.0
Salami - Metric                                    ,Salami - Metric                             ,277,13.0
Ham - Metric                                       ,Ham - Metric                                ,278,13.0
Meatballs - Metric                                 ,Meatballs - Metric                          ,279,13.0
Pepperoni - Metric                                 ,Pepperoni - Metric                          ,280,13.0
Roast Beef - Metric                                ,Roast Beef Metric                           ,281,13.0
"Steak, Shaved - Metric                             ","Steak, Shaved - Metric                      ",282,13.0
Tuna - Metric                                      ,Tuna - Metric                               ,283,13.0
"Cheese, Sliced - Metric                            ","Cheese, Sliced - Metric                     ",284,13.0
Olives - Metric                                    ,Olives - Metric                             ,285,13.0
Pickles - Metric                                   ,Pickles - Metric                            ,286,13.0
Jalapeno Peppers - Metric                          ,Jalapeno Peppers - Metri                    ,287,13.0
Banana Peppers - Metric                            ,Banana Peppers - Metric                     ,288,13.0
Green Peppers - Metric                             ,Green Peppers - Metric                      ,289,13.0
Onions - Metric                                    ,Onions - Metric                             ,290,13.0
Lettuce - Metric                                   ,Lettuce - Metric                            ,291,13.0
Tomatoes - Metric                                  ,Tomatoes - Metric                           ,292,13.0
"Cheese, Shredded - Metric                          ","Cheese, Shredded - Metri                    ",293,13.0
Parmesan Cheese - Metric                           ,Parmesan Cheese - Metric                    ,294,13.0
Mayonnaise - Metric                                ,Mayonnaise - Metric                         ,295,13.0
Ranch - Metric                                     ,Ranch - Metric                              ,296,13.0
Buffalo Sauce - Metric                             ,Buffalo Sauce - Metric                      ,297,13.0
Honey Mustard Sauce - Metric                       ,Honey Mustard Sauce - Me                    ,298,13.0
Sweet Onion Sauce - Metric                         ,Sweet Onion Sauce - Metr                    ,299,13.0
Teriyaki Glaze - Metric                            ,Teriyaki Glaze - Metric                     ,300,13.0
Salt & Pepper Blend - Metric                       ,Salt & Pepper Blend - Me                    ,301,13.0
"Vinegar, sauce - Metric                            ","Vinegar, sauce - Metr                       ",302,13.0
BBQ Rib Patty - Metric                             ,BBQ Rib Patty - Metric                      ,303,
BBQ Sauce - Metric                                 ,BBQ Sauce - Metric                          ,304,13.0
Burger Patty - Metric                              ,Burger Patty - Metric                       ,305,
"Carrots, Shredded - Metric                         ","Carrots, Shredded, Metri                    ",306,13.0
BBQ Chicken - Metric                               ,BBQ Chicken - Metric                        ,307,
Chicken Fritter - Metric                           ,Chicken Fritter - Metric                    ,308,13.0
Chicken Salad - Metric                             ,Chicken Salad - Metric                      ,309,
"Sauce, Lemon Olive Oil                             ","Sauce, Lemon Olive Oil                      ",310,15.0
Hash Browns - Metric                               ,Hash Browns - Metric                        ,311,13.0
Sausage Patties - Metric                           ,Sausage Patties - Metric                    ,312,13.0
Falafel - Metric                                   ,Falafel - Metric                            ,313,13.0
"Cheese, Shredded, Mozzarella - Metric              ","Cheese, Shredded, Mozzar                    ",314,13.0
Pepperoni For Pizza - Metric                       ,Pepperoni For Pizza - Me                    ,315,13.0
Sausage Pizza Crumble - Metric                     ,Sausage Pizza Crumble -                     ,316,13.0
"Protein, Pork, Pulled Applewood                    ","Protein, Pork, Pulled Ap                    ",317,15.0
"Sauce, Poblano Caesar Sauce                        ","Sauce, Poblano Caesar Sa                    ",318,15.0
"Yogurt, Bulk - Metric                              ",Yogurt - Bulk - Metric                      ,319,13.0
"Sauce, Italian Dressing - Metric                   ","Sauce, Italian Dressing                     ",320,13.0
Turkey - Metric                                    ,Turkey - Metric                             ,321,13.0
Bologna - Metric                                   ,Bologna - Metric                            ,322,13.0
"Sauce, Green Chili                                 ","Sauce, Green                                ",323,15.0
Pastrami - Metric                                  ,Pastrami - Metric                           ,324,13.0
Pulled Pork - Metric                               ,Pulled Pork - Metric                        ,325,13.0
Cold Cut Combo - Metric                            ,Cold Cut Combo - Metric                     ,326,13.0
Hot Pepper Relish                                  ,Hot Pepper Relish                           ,327,15.0
"Egg, Hard Cooked                                   ","Egg, Hard Cooked                            ",328,11.0
Hot Chocolate                                      ,Hot Chocolate                               ,329,15.0
"Yogurt, Parfait (Pre-made)                         ","Yogurt, Parfait (Pre-mad                    ",330,11.0
Giardiniera Topping                                ,Giardiniera Topping                         ,331,15.0
"Sauce, Zesty Avocado Sauce                         ","Sauce, Zesty Avocado Sau                    ",332,15.0
Ketchup - Metric                                   ,Ketchup - Metric                            ,333,13.0
Fountain Bev Syrup - Metric                        ,Fountain Bev Syrup - Met                    ,334,14.0
Balsamic Vinaigrette Sauce                         ,Balsamic Vinaigrette Sau                    ,335,15.0
"Ketchup Packets, PC Packets                        ","Ketchup Packets, PC Pack                    ",336,11.0
"Lemon Juice Packets, PC Packets                    ","Lemon Juice Packets, PC                     ",337,11.0
